location_x,location_y
27.017975,-5.0771537
103.25487,-33.371067
58.828495,-16.998373
2.9893208,9.907075
23.39886,-3.43827
-64.447876,28.292742
2.5892987,4.5072727
96.33558,-30.765493
-16.137121,11.521272
54.62572,-16.932812
-0.7210078,8.245682
25.97811,-4.1362205
-81.01608,39.697636
19.263376,-6.3687444
-15.611089,11.782505
114.01551,-37.215572
-67.25113,33.070538
30.01411,-5.8184233
1.1545478,-0.7220607
34.105694,-8.652912
77.36091,-23.941736
209.57193,-72.18599
6.765871,4.2213674
54.455635,-14.994589
4.722314,10.002228
-19.973515,19.093906
162.77657,-55.39915
-45.556038,24.235676
-4.288542,6.914053
83.16144,-26.386276
-539.8542,203.58994
-3.9560218,7.7240863
100.6104,-31.558092
-0.5494058,-3.1018517
-73.664345,34.83477
-169.77031,67.87634
10.216532,1.3422306
3.1098268,5.0929823
-45.656933,22.343952
-49.734642,23.322222
6.176791,3.4043868
25.611752,-4.6267333
225.41312,-77.83561
4.104609,4.1303835
-74.099846,34.39222
-10.977818,11.830656
88.6832,-29.56197
-24.278393,19.90466
0.1420896,8.722223
8.618262,2.2301245
-16.687735,11.044192
24.149279,-4.8781595
10.257012,1.027966
55.87592,-17.5099
57.39465,-17.031763
-40.34451,20.2465
-93.46671,41.377113
4.3143954,4.4137726
-8.649033,7.9526877
-78.90898,33.87607
1.034475,5.9632287
25.596409,-7.0847187
-6.1943054,7.4914637
8.785947,-0.4966426
17.287382,-2.2140646
-1.324007,-0.24564663
-101.70774,42.00811
-3.2877235,5.1149726
-50.991943,22.826166
20.275661,-6.6942143
83.569016,-28.776394
-3.5306563,6.536742
55.020943,-16.740976
-9.324406,8.548502
131.20439,-44.51106
-11.105625,8.639176
-7.5906,8.660841
-141.08653,55.18402
28.473083,-6.266079
-82.76001,34.348732
54.288136,-15.932121
24.177504,-4.245152
-275.0007,101.74936
-97.20494,41.0064
-37.857864,18.376625
-57.679153,26.46479
-93.2085,42.927326
-21.286503,13.34514
39.173504,-11.138175
9.795958,1.3150349
-13.676409,11.388515
-31.518959,18.640247
9.142445,2.234151
22.72879,-2.9240172
-8.482174,9.246857
-3.289864,8.368276
-16.614895,12.007715
55.590115,-15.607668
34.232136,-6.8994236
-27.264101,18.784962
-173.31516,62.139996
-45.785313,22.769238
9.989658,3.2930095
-66.32614,32.354412
7.1767445,4.1963587
-387.3159,147.84242
234.08884,-79.18063
9.775074,4.33699
15.4821825,1.065248
38.954033,-6.083298
25.770405,-2.816505
-20.389822,21.53968
4.9630103,14.510532
-7.5503798,11.611292
2.9293456,8.203682
-39.613644,25.643517
1026.7388,-360.5109
78.97729,-22.676464
-597.59656,225.1323
8.713185,3.0573955
0.9003515,13.816387
-10361.361,3697.8743
9.089315,3.561133
-18953.375,6735.6865
-3.1292706,8.866214
-4045.1206,1454.9319
-8528.827,3051.437
233.2847,-79.05081
0.65823054,6.8065896
6.8177257,4.9433875
3.4244933,10.379325
-0.14708406,8.453884
6.0415134,11.406908
-14.044338,16.501669
-29.482014,23.617172
-1522.9678,571.45135
-8.498702,14.206632
-40.100945,20.259459
-427.6632,163.70981
-764.43274,284.4254
0.48826933,5.7355585
0.66548777,6.1033287
-2900.327,1053.3816
5.7168517,2.6857307
-374.87222,142.78752
14.771568,-1.3935742
-957.7357,346.40274
19.29643,-3.3547237
40.049953,-10.253303
-26.829369,17.324648
11.115077,-0.71607065
20.763458,-5.400201
-0.54756105,6.4801674
21.390917,-5.991952
-15.53787,9.738096
-18.809181,15.45788
26.506264,-7.5437546
-46.782707,22.477943
1.3035133,-0.84438354
-0.92332006,4.3576994
29.667171,-9.433085
-0.3723519,-1.8557613
18.25346,-4.368312
8.481001,-0.85225046
-32.098732,15.293833
21.32481,-6.976009
-18.908918,9.294762
1.879179,1.6162052
-48.481323,21.395119
-28.358135,13.052298
-0.014718547,-0.113961756
-77.16631,28.683485
104.99417,-36.234486
123.330925,-42.564957
-6.353961,7.113759
-98.21276,35.260532
0.8438216,-5.0630064
169.19212,-58.748604
21.935354,-5.581157
188.34225,-64.7169
15.248416,-1.8870058
-117.92644,47.090733
65.35817,-19.68127
263.69128,-91.73215
-73.75884,29.173586
-44.791153,20.927692
-18.803276,12.622883
-33.568237,16.07039
-49.18856,22.290184
-2.0704079,5.318645
-56.69145,27.260448
-26.133877,14.543252
-14.583811,10.288545
-196.39638,76.763145
-15.570951,10.117231
-22.05218,13.489529
-61.076965,29.814848
92.61885,-27.913357
-372.25516,142.44815
4.9356747,3.1776812
