location_x,location_y
0.24696955,-0.10759439
-0.957806,-1.5245832
11.203817,-3.4160545
0.55542004,-0.34398353
-18.066813,10.345211
0.21556717,-0.520558
-6.4700346,5.1673784
-0.12835334,-0.3874159
-1.1315231,-1.2164123
5.6506968,-0.89863986
-12.363712,5.9937325
-96.129654,38.4764
0.990821,-0.28022403
14.297775,-4.264821
3.122013,1.1756806
-29.562523,13.884733
-63.208454,25.917282
-0.94332004,3.9511461
-18.715855,10.989559
-31.676823,16.115881
-15.934748,11.085495
5.3526964,1.3517131
6.6652584,1.1886907
-5.2852983,5.2729073
-24.779505,13.099773
36.60098,-11.837726
41.548428,-13.077728
-40.898758,19.634172
4.0770993,3.0946782
5.70173,2.0461376
-24.070963,13.754037
-90.84108,36.71028
-25.993362,13.979431
2.062712,3.0697086
25.940018,-6.8220444
-127.393486,51.27342
-45.048645,21.847746
-66.083595,30.444078
-19.23743,11.537233
28.899664,-7.8171225
-164.9378,62.51284
-131.44087,51.743492
1.2526367,6.8558817
38.471058,-10.787083
-2975.0066,1074.3328
-20.584938,12.460242
9.542893,0.8291156
14.176226,-0.19251609
17.799803,-1.1895292
11.139261,2.028062
-89.086464,43.847176
-32.14451,19.93326
3.4182963,4.4045124
-76.28373,39.937553
-45.6748,22.906883
39.05509,-8.0061035
0.9818325,7.4275236
699.5034,-246.10904
-161.5844,61.279045
-77.853004,33.690006
-7.3046227,10.56631
32.51597,-5.3749275
-22.472513,15.1671915
-522.9927,193.1926
15.071267,0.88851213
2.2589746,5.869256
4.9137197,9.654847
-539.22455,202.39772
4.6784325,4.8964753
2.0428462,6.8422575
-676.9838,245.26369
-82.669586,38.569042
-48.963264,27.47327
225.86383,-77.3718
25.432116,-2.7093163
-73.997284,38.039772
-5.4606285,14.858047
-3524.2246,1268.8805
20.52597,-0.8788099
-86.5239,43.733395
135.20856,-42.965736
11.105545,-3.7428455
5.518396,17.528973
140.87035,-44.545284
7.4142504,10.499237
-12.498752,20.907593
3.9009051,10.594658
9.140294,8.2252655
4.833586,9.028712
-642.2574,240.14368
2.1431704,10.303795
135.84412,-41.360615
-571.23737,212.9875
-24.086086,26.94928
9.720108,10.945537
173.8111,-57.338192
-637.1615,237.30801
8.504517,7.5493865
-678.63965,253.99744
25.271463,2.150456
