location_x,location_y
1.0,1.0
1.0201144,1.0154215
1.1275048,1.1060311
1.2026479,1.1606956
1.1380194,1.1868519
1.1600754,1.2234643
1.1536881,1.1868955
1.1459985,1.2333283
1.2753643,1.3370562
1.2102699,1.3686076
1.2790892,1.3954085
1.4163043,1.5359128
1.4572936,1.6026762
1.4926686,1.6251935
1.6120851,1.6097351
1.7222826,1.7108716
1.7714913,1.8363655
1.796041,1.940088
1.82667,1.9559294
1.8480273,2.118345
1.7942646,2.337213
1.8005784,2.3800519
1.9130183,2.4545815
2.0070539,2.6639366
2.1927886,2.5727346
2.359831,2.5221863
2.4394236,2.412421
2.5678809,2.4749277
2.6200833,2.4941776
2.7605777,2.4850318
2.8475032,2.542029
2.9805634,2.6767364
2.9296288,2.7038758
2.9792287,2.6927202
2.9701767,2.744447
2.8801386,2.8046393
2.9330564,2.900337
3.001455,2.9159734
3.007782,2.9905
2.9908097,3.0798855
3.0105474,3.1867137
3.1227915,3.3523204
3.0754247,3.4718266
3.1689677,3.465433
3.3393748,3.5641153
3.3455195,3.5934145
3.3334904,3.5582082
3.5642529,3.6228347
3.514416,3.8291507
3.8188303,3.8626082
3.7700424,3.9211376
3.885129,4.0068393
3.8106477,3.9891973
3.9216022,4.151732
3.9410555,4.154217
4.145481,4.3175063
4.1889596,4.465925
4.189226,4.4376044
4.1572337,4.598071
4.3024607,4.442655
4.358642,4.436066
4.438619,4.6083617
4.553515,4.6393347
4.437377,4.749116
4.5436,4.7834353
4.5227566,4.964941
4.44255,5.014521
4.507158,5.00983
4.5242496,4.998011
4.7508016,5.039125
4.710016,5.065786
4.7943425,5.148779
4.9956594,5.2753663
5.124849,5.3197203
5.2707696,5.2642403
5.277461,5.3498693
5.3810215,5.4197407
5.330236,5.3784986
5.2991443,5.4429135
5.333657,5.483175
5.3880634,5.4942718
5.431996,5.6346674
5.537218,5.6956887
5.6656513,5.7855954
5.7631497,5.90631
5.867529,6.184384
5.9338765,6.1794825
6.015243,6.311485
6.0891714,6.3442636
6.2033167,6.3092065
6.0847783,6.365506
6.1197653,6.461703
6.3705935,6.5562105
6.4984527,6.525175
6.487087,6.4841185
6.772341,6.6166387
6.7999125,6.742457
6.747636,6.7615194
6.7898374,6.82573
6.8481116,6.98693
