location_x,location_y
4.001,4.0
4.008369,4.0006404
3.9881716,4.032138
3.9295237,4.1072955
3.92612,4.2064447
3.924791,4.0841036
3.8067558,4.0114655
3.8754756,4.0206146
3.8641658,3.9706206
3.947791,4.0474267
4.0065923,4.037499
4.14862,4.08874
4.164064,4.1177416
4.110051,4.057851
4.1417427,4.1360426
4.19391,4.332979
4.161496,4.5675073
4.1468363,4.5174537
4.201959,4.542897
4.0840898,4.6563616
4.277533,4.7191305
4.338562,4.6170774
4.3107724,4.6740465
4.2285323,4.6520224
4.3013,4.5863795
4.3117757,4.58995
4.205984,4.4888535
4.040081,4.5531583
3.8883944,4.403242
4.008198,4.3510394
3.9017475,4.395983
3.8536863,4.37926
3.8761468,4.485814
3.8332136,4.5075603
3.7689686,4.631178
3.7139163,4.513918
3.6652064,4.495215
3.5045707,4.5293956
3.6104636,4.3780475
3.5229294,4.351399
3.5107763,4.334288
3.4822476,4.3125153
3.5202353,4.3608985
3.4300063,4.330653
3.3807297,4.316458
3.1951375,4.266482
3.3453321,4.057278
3.409213,4.189245
3.3320303,4.1784377
3.32286,4.2597675
3.3137777,4.239705
3.5122313,4.0680833
3.5903687,3.958193
3.491155,4.0617166
3.4284368,4.0710015
3.3791473,3.9262621
3.268983,3.842957
3.3233027,3.821153
3.1678007,3.7980137
3.1542382,3.7264547
3.2306898,3.7411058
3.1079562,3.6343675
3.2081957,3.5031488
3.1671154,3.3575873
3.2608984,3.3755202
3.1174717,3.514414
3.1917005,3.333363
3.2240329,3.153263
3.2085896,3.0825763
3.2430909,3.1106384
3.327901,2.931804
3.3648787,2.9965184
3.4372966,3.0322669
3.6422868,3.0144894
3.7584522,2.985258
3.847357,2.9829218
3.8021915,2.8842707
3.8417134,2.9321837
3.9109173,2.9082808
3.9834275,2.9035895
4.0935426,2.8768194
4.2399487,2.8906026
4.3112683,2.887444
4.335429,2.7536254
4.4631114,2.6528194
4.5695777,2.6638572
4.744714,2.8427992
4.8243976,2.9523249
4.795536,2.8365653
4.908887,2.872455
4.858667,2.9598513
4.984343,3.0674243
5.0619483,3.0771713
5.1412873,3.1146758
5.112681,3.1091328
5.224808,3.0921288
5.3331456,3.1315272
5.2935133,3.271413
5.362276,3.386135
5.5075808,3.5968149
5.4726124,3.6707954
5.498524,3.6911564
5.645246,3.8930593
5.751505,3.991355
5.8140044,4.033925
5.9634976,4.1217284
5.9279118,4.3142066
5.7900577,4.552008
5.832634,4.5971546
5.901768,4.824851
5.8945985,4.9139442
5.896329,4.923044
5.9388905,5.068096
5.9611907,5.1918774
5.8117747,5.368235
5.7362313,5.455521
5.6691494,5.484926
5.549452,5.4735756
5.590433,5.5747757
5.3472238,5.7049007
5.187128,5.6843333
5.118783,5.8312426
4.9824705,5.7683744
4.870223,5.746071
4.6767435,5.9405594
4.5741463,6.002007
4.328126,6.1923995
4.1761513,6.223428
3.9363623,6.2997866
3.8527074,6.379222
3.8087995,6.376295
3.5324256,6.42268
3.4833407,6.319595
3.2593484,6.2935243
3.1836402,6.3775935
3.0817237,6.3564963
2.961072,6.265029
2.7719066,6.1076484
2.4068077,6.0262175
2.2776592,6.056055
2.159652,5.998652
2.1139348,5.8998938
2.010703,5.912351
1.8996295,5.703256
1.8266417,5.598154
1.78774,5.362179
1.8587111,5.3458877
1.7602376,5.0732903
1.8646269,4.9008946
1.7652587,4.715659
1.6233346,4.618475
1.5885158,4.2406225
1.4586449,4.222955
1.3075893,4.0382624
1.3591863,3.8389406
1.351809,3.7257504
1.3680545,3.5111666
1.2087256,3.286546
1.1964655,3.049082
1.2228613,2.923084
1.2052163,2.8190415
1.2180504,2.6086729
1.4165812,2.586033
1.4283874,2.3938296
1.5278645,2.3167806
1.6747906,2.1184843
1.9290209,1.9858757
2.066155,1.8922919
2.244793,1.8353704
2.3129647,1.7105873
2.378163,1.6358029
2.5485835,1.4752843
2.7431958,1.3930119
3.013829,1.3634638
3.3346338,1.4494063
3.4781892,1.2639694
3.7146628,1.0733873
3.8768795,0.9912021
3.8576055,0.9786807
4.2976003,0.9257594
4.5176516,0.9448286
4.7870126,0.8886436
4.969659,1.0137196
5.254713,0.9168183
5.394787,0.8495017
5.567743,0.8895758
5.720627,1.061804
5.980546,1.082816
5.90928,1.2189785
6.0041428,1.2434065
6.1007013,1.4134123
6.086612,1.3723782
6.1655464,1.5328338
6.175811,1.8141472
6.309662,1.9184434
6.436741,2.1148236
6.5119314,2.4039636
6.518046,2.7564638
6.6920567,2.9230103
6.923231,3.2325547
