location_x,location_y
1.0,6.1213202
0.9859062,6.1060553
0.9462936,6.0883703
0.8821643,6.1895757
0.8389316,6.224043
0.8345056,6.27263
0.84119296,6.2780476
0.8998523,6.303153
1.0676104,6.350541
0.97288764,6.309801
1.0322853,6.313548
1.0102627,6.3351655
1.1749196,6.4627986
1.1060889,6.4722934
1.1314685,6.5125713
1.0763278,6.59521
1.1151077,6.746454
1.2898088,6.676249
1.2469696,6.727948
1.1474006,6.691409
1.1975712,6.713665
1.3531129,6.71702
1.4028007,6.647624
1.3231442,6.7668104
1.3844477,6.6446247
1.1633549,6.743307
1.3659338,6.6743593
1.5093527,6.7680755
1.4525566,6.6870403
1.2415249,6.7047954
1.3788718,6.5215874
1.45005,6.67338
1.4695323,6.740576
1.5663038,6.7277613
1.5843217,6.619714
1.6266599,6.60733
1.7861259,6.654466
1.9483385,6.5452275
1.9419478,6.4812174
1.8844784,6.366779
1.8865317,6.4209943
1.962897,6.4042253
1.9888469,6.384436
1.9756225,6.4042435
1.9474459,6.470307
1.9677713,6.4942803
1.9337889,6.3775744
2.057962,6.5196905
2.1774356,6.4902496
2.255239,6.678736
2.211903,6.682675
2.3389237,6.716574
2.369994,6.825792
2.4633684,6.730978
2.4873073,6.728514
2.5009432,6.703737
2.5940356,6.789183
2.6111543,6.659568
2.6449876,6.648094
2.86678,6.628049
2.8862755,6.6906204
2.8011842,6.609236
2.9240298,6.5115676
2.8737288,6.4176254
2.8216302,6.315612
2.8439133,6.2880473
2.7953815,6.2551866
2.833727,6.1033287
2.846478,6.1233435
2.7897635,6.146079
2.8514087,6.196379
2.9534585,6.310761
3.0634458,6.2818737
3.1490998,6.1909523
3.0044563,6.402796
3.123022,6.3155518
3.3198197,6.1267376
3.3843205,6.040384
3.3906336,6.0277452
3.273893,6.1834087
3.40979,6.0013676
3.3999388,5.9398656
3.4365635,5.8894706
3.4440434,5.8137503
3.4360213,5.6183844
3.4509997,5.6136656
3.5449815,5.4856343
3.4426186,5.2542467
3.50607,5.188844
3.596872,5.109976
3.598971,5.02841
3.6836054,4.931576
3.7269583,4.8772492
3.8246279,4.8768735
4.0365424,4.747446
3.950681,4.6273947
4.016627,4.4989223
4.0013146,4.5076346
3.9551146,4.3111534
3.9568021,4.2383723
3.8871186,4.2576804
3.9053717,4.243242
3.971843,4.1842895
3.916647,4.0785556
3.9737468,3.893542
3.9808085,3.811788
4.0873656,3.6355612
4.2407346,3.6353273
4.420199,3.6237333
4.379304,3.6374137
4.25675,3.541503
4.2627683,3.6005163
4.2917395,3.6279538
4.337165,3.5642314
4.514336,3.54714
4.550356,3.5336874
4.5161724,3.5389247
4.5772357,3.5190916
4.4826007,3.4256527
4.49325,3.1943626
4.493953,2.95785
4.622694,2.8779297
4.6284385,2.760939
4.660765,2.65259
4.692308,2.5547457
4.66931,2.580883
4.665929,2.5129564
4.587662,2.5444944
4.7483764,2.477195
4.7493844,2.5210614
4.8446918,2.4657621
5.0135145,2.389365
5.003551,2.264314
5.0636473,2.1810524
5.0548844,2.0745134
4.9539657,2.0528219
5.071669,1.8758446
5.046199,1.6915654
5.039149,1.8730537
5.0852118,1.7843019
5.182649,1.720709
5.0895953,1.6279367
5.1764517,1.6574562
5.0977798,1.5232835
5.1960297,1.5562046
5.2670436,1.5331793
5.3166957,1.4890028
5.473381,1.4634802
5.633103,1.4877737
5.5224714,1.6098111
5.584544,1.489188
5.678513,1.4915062
5.6311355,1.5493937
5.649825,1.6081781
5.839943,1.4079396
5.858876,1.4171098
5.913142,1.3573152
5.869953,1.5429889
5.809751,1.4191171
6.0524793,1.40156
5.8957953,1.387202
5.8242583,1.3810334
5.747309,1.2920067
5.9162974,1.2906915
5.8479815,1.2783093
5.9143944,1.3183151
5.8913927,1.2651026
6.0046887,1.1455495
6.0742164,1.099591
6.0586553,0.9779281
6.0629296,0.94605553
6.093096,0.92595005
6.010961,0.94070905
5.9218907,0.95000404
6.059916,0.9393834
6.26356,1.0519471
6.3172493,0.9881779
6.406274,1.0777842
6.404832,1.1222522
6.421018,1.1403809
6.4369416,1.3184487
6.461987,1.3237085
6.5554633,1.2462274
6.544761,1.1591218
6.4155135,1.1424507
6.2861505,1.1583654
6.329138,1.1881043
6.4083757,1.2202777
6.370505,1.1636062
6.409072,1.3440785
6.4461393,1.3830667
6.596059,1.4516561
6.577305,1.4400603
6.5755854,1.397432
6.653117,1.4501773
6.752397,1.3480405
6.5998836,1.3307563
6.550464,1.2652894
6.539218,1.2873594
6.632154,1.2859615
