location_x,location_y
4.001,4.0
3.9943972,3.9947424
4.007466,3.984175
4.0598617,4.018489
4.0541925,3.9336674
4.0581255,3.9288218
4.1193657,3.9519768
4.1509585,4.0225487
4.2929335,3.9383376
4.268309,3.8298104
4.229909,3.9122565
4.391473,3.9668555
4.287038,4.197983
4.3076887,4.342454
4.2420764,4.31638
4.278331,4.3273306
4.0725827,4.159192
4.098466,4.2299857
4.0250525,4.3315945
4.0415473,4.2379394
4.0461774,4.279184
4.0472283,4.2126513
3.9696722,4.1565866
4.0118093,4.3664346
3.948843,4.5399766
3.851316,4.417151
3.8567145,4.554642
4.000458,4.4958572
4.0576453,4.5272384
3.9102426,4.4392724
3.8315406,4.4414363
3.965053,4.4138494
4.0050545,4.2415724
3.9622643,4.193612
3.9657469,4.3683763
3.955749,4.3219357
3.8377907,4.1864905
3.9279466,4.292979
4.0083437,4.3610125
4.051099,4.5890484
4.078246,4.56462
3.763246,4.603783
3.795414,4.4657583
3.804065,4.5108223
3.6502159,4.4072423
3.6288643,4.5155506
3.5437,4.376742
3.5375404,4.4440837
3.36722,4.56789
3.4050088,4.4402647
3.5436947,4.461597
3.464703,4.4158134
3.3508887,4.483941
3.332314,4.5106378
3.1862679,4.2872624
3.1635997,4.1217446
3.148744,4.0574265
3.1587517,4.0664124
3.0872676,4.03548
3.0995228,3.9328544
3.0242558,3.7207415
3.0964265,3.5850053
3.2051916,3.5473967
3.2363737,3.5270777
3.313865,3.5121508
3.3823013,3.405776
3.3873372,3.3296795
3.4981644,3.2797136
3.432853,3.0444252
3.4080381,3.1534336
3.3344347,2.9843712
3.4773052,2.9997017
3.3544922,2.9636195
3.4906845,2.8403034
3.5574925,2.8284278
3.5995576,2.869409
3.5544095,2.9135818
3.6787412,2.7622223
3.712487,2.614786
3.865072,2.657535
3.9934838,2.730176
3.8747365,2.6032753
4.046688,2.5215244
4.1974683,2.417417
4.5075336,2.3425877
4.7265334,2.4192507
4.8764153,2.6023111
4.825868,2.7233672
4.7565536,2.6275284
4.9835205,2.7237186
4.976575,2.8476593
5.035417,2.8898177
5.1566896,2.8578396
5.206207,2.8031142
5.3610272,2.7706099
5.3931947,2.8245459
5.50966,2.9027262
5.5383544,3.1496959
5.411775,3.2346091
5.489453,3.3425617
5.578172,3.4973264
5.7025905,3.7687237
5.8147798,3.88897
5.871438,3.990658
5.900612,4.113009
5.8670874,4.3850865
5.9064374,4.2482796
5.937301,4.33354
5.907866,4.5587354
5.847662,4.6458764
5.6789594,4.6625357
5.7673755,4.795549
5.7259316,4.953632
5.977908,5.0924377
5.811389,5.1614623
5.7182903,5.1007776
5.6511817,5.3618007
5.5881104,5.341273
5.3564544,5.3254204
5.300014,5.3755336
5.011727,5.512697
4.937042,5.656021
4.729825,5.728069
4.5764337,5.7631903
4.460845,5.8657484
4.3731127,5.8619742
4.2927623,6.0059953
4.1228538,6.130133
3.988357,6.2036047
3.8145792,6.1706314
3.681551,6.054194
3.4923778,6.1501675
3.487063,6.212109
3.16046,6.3845468
3.2411573,6.1968393
3.1753554,6.0115094
2.9357672,6.2023306
2.8076963,6.23172
2.8383362,6.1199822
2.6662195,6.0037003
2.5737479,5.968156
2.5843449,5.992604
2.5523643,5.751239
2.4442282,5.6915417
2.3415654,5.513065
2.2368398,5.273154
2.0488596,5.102833
1.9382248,4.8021793
1.818171,4.649235
1.7643058,4.439186
1.6803819,4.415637
1.603422,4.4195294
1.6798735,4.206228
1.500952,4.0518174
1.6024733,3.9282267
1.4914091,3.7397628
1.5166608,3.4312134
1.3354361,3.2472477
1.264264,3.0939484
1.2614943,2.9618857
1.3804835,2.8367002
1.4495846,2.6461256
1.4457436,2.534844
1.1848084,2.3413754
1.1886151,2.4681706
1.2166587,2.3367343
1.4164475,2.3802297
1.6808554,2.265249
1.8396181,2.1567802
2.04281,2.0929418
2.419394,2.0228753
2.6316533,1.7843833
2.6962008,1.6711478
2.9366279,1.4944896
3.130102,1.3931173
3.348874,1.4392647
3.488707,1.206593
3.80254,1.1161644
4.113294,1.1086048
4.2979565,1.0386556
4.538083,0.9498124
4.6875224,0.89731264
4.8226585,0.91921616
5.092404,1.0074804
5.3501506,0.72155654
5.4945717,0.7036025
5.6427655,0.72450936
5.727608,0.91174173
5.8245335,1.0686419
5.8189015,1.1272976
5.8941393,1.2532396
5.960733,1.3873329
6.0684147,1.469417
6.1762013,1.8265481
6.4464216,1.9607638
6.5532722,2.145633
6.5619297,2.196068
6.626119,2.2679367
6.681398,2.5792112
6.8002706,2.7667766
