location_x,location_y
1.0,1.0
0.977598,0.98521394
1.0080513,0.99657834
1.0440943,0.96360886
1.0168983,0.92072755
1.1921709,1.1133077
1.1370687,1.1663151
1.2037224,1.0632739
1.160118,1.0429404
1.1808355,1.0373678
1.3348792,1.1741529
1.3318036,1.160738
1.3949466,1.045197
1.3595048,1.0976868
1.4968928,1.2555819
1.5297842,1.2921754
1.5077517,1.2740048
1.6132553,1.3236845
1.5037175,1.4843905
1.5972015,1.4425206
1.5620549,1.5411699
1.4955511,1.4016767
1.6593635,1.4193995
1.7284656,1.4530598
1.6663927,1.4994929
1.7578889,1.5862182
1.7887337,1.6368595
1.8621678,1.5683926
1.8495667,1.52185
2.0399823,1.5644932
2.0887587,1.5673524
2.1111696,1.6359947
2.1307592,1.7930777
2.1162944,1.8747362
2.174719,1.9490609
2.1431503,1.8421543
1.9416194,1.8980709
1.8105813,1.9508355
1.7799201,1.9507942
1.8150613,2.0719736
1.9006433,2.1188366
1.8704419,2.204888
1.7836468,2.3640697
1.8390793,2.3422945
1.8702381,2.3063734
1.9786943,2.354591
1.9229963,2.370426
2.039974,2.225288
2.0528545,2.2185726
2.0194006,2.3393598
2.1229367,2.322688
2.1612306,2.438883
2.3253798,2.467578
2.3513842,2.5623758
2.2920456,2.6299896
2.4519496,2.6778462
2.413746,2.7037532
2.3995295,2.6154687
2.3981059,2.6604877
2.4680686,2.6793418
2.5585032,2.8094456
2.6240196,2.7870157
2.5399284,2.7823467
2.6656332,2.825588
2.651748,2.9034967
2.566006,2.8739374
2.3886592,3.0428247
2.4279072,2.9540076
2.4186783,2.9634433
2.4905944,3.0062702
2.5093622,2.8374987
2.512724,2.8364
2.6885688,2.8162644
2.7755215,2.77887
2.8524318,2.850698
2.8238418,2.8973973
2.8074074,3.0071232
2.8155384,2.986946
3.0073307,2.9473205
3.0190108,2.972716
3.0717623,3.092077
3.0763342,2.9857416
3.2723927,2.9878492
3.3464067,2.9918003
3.4280052,3.0654802
3.5793056,3.0971797
3.794972,3.1025343
3.6626549,3.017358
3.7292683,2.980193
3.6204886,2.9332623
3.5456455,3.222019
3.676698,3.24754
3.5867724,3.285757
3.6175294,3.3640924
3.6151671,3.4495628
3.5700006,3.3779426
3.4660873,3.4746068
3.5353096,3.6164117
3.7014234,3.6212134
3.8147202,3.8491619
3.7402046,3.8412182
3.9084098,3.9086163
3.7782843,4.118549
3.8472152,4.1683064
3.90681,4.1493573
3.8746402,4.202375
3.717073,4.11298
3.9546907,4.0903583
4.134849,4.254793
4.083566,4.1865907
3.8921776,4.1794767
4.0477867,4.195496
4.0930166,4.1872215
4.119154,4.2658324
4.276247,4.3652725
4.431474,4.2207355
4.3538766,4.0836368
4.4250464,4.15719
4.4707103,4.4581537
4.595775,4.424822
4.6025257,4.4509473
4.7927775,4.488606
4.7028522,4.579111
4.8237114,4.679551
4.919966,4.766099
5.043562,4.7810326
4.92437,4.704535
4.9774256,4.5525975
5.039363,4.49345
4.9272814,4.556957
5.040749,4.555184
4.9056735,4.6685762
5.0501623,4.887105
4.98548,4.790827
4.863771,4.7383885
4.9610996,4.9420943
4.980236,4.9582386
4.9825315,5.0814548
4.9903054,5.1190023
5.0632734,5.0003533
5.185853,4.7727404
5.1207194,4.730101
5.1937976,4.776216
5.290496,4.8156986
5.356829,4.691227
5.419311,4.8453226
5.261375,5.0495443
5.405952,4.990868
5.2709675,5.1320095
5.344889,5.3838344
5.3092546,5.3147473
5.344909,5.392441
5.4615474,5.237144
5.5094476,5.285141
5.5817504,5.322369
5.5851536,5.347581
5.512582,5.387517
5.622074,5.410165
5.563028,5.5683346
5.392904,5.7406855
5.5441737,5.787694
5.6354976,5.859334
5.75421,5.8171186
5.88397,5.8327365
5.7765174,5.937163
5.8827534,5.9543524
5.990646,5.9646144
5.982621,5.860378
6.141345,5.885517
6.132179,5.9402795
6.058509,5.933599
5.9516354,5.92738
5.811825,5.9911857
5.744498,5.900303
5.891182,6.056528
6.06508,6.0197372
6.0926085,6.14765
6.0838547,6.1586404
6.0942507,6.263174
6.161144,6.400488
6.0102673,6.4629292
6.032893,6.3773623
6.199704,6.312196
6.2125854,6.4058366
6.431245,6.53542
6.3329215,6.673195
6.328398,6.7545233
6.253639,6.817786
6.321666,6.8557696
6.416752,6.8615165
6.680351,6.8427715
6.67966,6.9420385
6.634789,6.8422894
6.7015324,6.7791433
6.715512,6.780195
6.7942147,6.8840537
6.6182,6.8812156
6.726698,6.841652
6.851194,7.0151978
6.871856,6.9558454
